Timestamp,Temperature,Humidity,CO2
2025-04-26 00:00:00,25.0,50.0,500.0
2025-04-26 00:00:30,24.93,49.74,498.89
2025-04-26 00:01:00,25.28,49.55,483.91
2025-04-26 00:01:30,25.45,49.15,481.74
2025-04-26 00:02:00,25.5,49.5,493.38
2025-04-26 00:02:30,25.83,49.66,486.0
2025-04-26 00:03:00,25.32,50.03,499.11
2025-04-26 00:03:30,25.34,49.87,504.42
2025-04-26 00:04:00,24.62,49.4,509.33
2025-04-26 00:04:30,25.05,49.04,513.09
2025-04-26 00:05:00,25.18,50.22,501.96
2025-04-26 00:05:30,25.46,47.94,475.76
2025-04-26 00:06:00,25.16,46.57,484.52
2025-04-26 00:06:30,25.49,44.74,493.0
2025-04-26 00:07:00,24.99,44.61,490.06
2025-04-26 00:07:30,25.05,45.84,496.44
2025-04-26 00:08:00,25.22,46.82,501.23
2025-04-26 00:08:30,24.91,45.74,496.53
2025-04-26 00:09:00,25.16,45.36,519.88
2025-04-26 00:09:30,24.75,43.72,527.57
2025-04-26 00:10:00,25.46,44.48,535.93
2025-04-26 00:10:30,26.17,44.33,521.7
2025-04-26 00:11:00,25.91,45.76,507.26
2025-04-26 00:11:30,25.92,46.14,504.1
2025-04-26 00:12:00,26.29,47.01,527.32
2025-04-26 00:12:30,26.6,46.1,1103.82
2025-04-26 00:13:00,26.18,47.53,516.03
2025-04-26 00:13:30,26.14,48.65,508.8
2025-04-26 00:14:00,26.0,45.89,497.97
2025-04-26 00:14:30,25.71,46.51,509.91
2025-04-26 00:15:00,25.71,46.91,511.59
2025-04-26 00:15:30,26.25,48.25,514.32
2025-04-26 00:16:00,25.74,49.6,518.14
2025-04-26 00:16:30,26.36,49.56,537.67
2025-04-26 00:17:00,26.18,51.95,538.82
2025-04-26 00:17:30,25.92,50.25,537.31
2025-04-26 00:18:00,26.63,51.48,544.2
2025-04-26 00:18:30,25.44,52.54,549.75
2025-04-26 00:19:00,25.17,51.6,549.73
2025-04-26 00:19:30,26.03,50.02,545.45
2025-04-26 00:20:00,26.71,49.35,541.81
2025-04-26 00:20:30,26.76,47.49,544.01
2025-04-26 00:21:00,26.15,48.82,544.04
2025-04-26 00:21:30,27.3,49.24,557.7
2025-04-26 00:22:00,26.64,49.06,560.93
2025-04-26 00:22:30,27.52,46.53,570.84
2025-04-26 00:23:00,27.81,48.83,577.96
2025-04-26 00:23:30,27.84,48.05,565.48
2025-04-26 00:24:00,27.94,47.76,585.68
2025-04-26 00:24:30,27.63,48.25,569.99
2025-04-26 00:25:00,27.43,48.64,578.23
2025-04-26 00:25:30,28.16,48.57,567.06
2025-04-26 00:26:00,28.39,49.35,571.98
2025-04-26 00:26:30,28.04,51.05,572.85
2025-04-26 00:27:00,28.39,52.96,578.95
2025-04-26 00:27:30,28.53,56.19,581.38
2025-04-26 00:28:00,28.38,56.35,596.21
2025-04-26 00:28:30,28.44,57.13,608.17
2025-04-26 00:29:00,28.18,54.54,611.16
2025-04-26 00:29:30,28.3,53.63,619.87
2025-04-26 00:30:00,28.6,52.14,625.06
2025-04-26 00:30:30,28.5,49.91,629.59
2025-04-26 00:31:00,28.48,48.8,634.82
2025-04-26 00:31:30,28.73,47.93,638.82
2025-04-26 00:32:00,29.23,46.86,642.63
2025-04-26 00:32:30,29.24,50.26,624.0
2025-04-26 00:33:00,29.58,49.8,623.0
2025-04-26 00:33:30,30.53,49.79,645.41
2025-04-26 00:34:00,30.31,50.31,640.5
2025-04-26 00:34:30,29.97,50.41,637.68
2025-04-26 00:35:00,30.07,47.25,657.7
2025-04-26 00:35:30,29.98,49.86,647.63
2025-04-26 00:36:00,30.13,54.61,638.93
2025-04-26 00:36:30,29.38,53.79,643.66
2025-04-26 00:37:00,29.73,55.73,641.09
2025-04-26 00:37:30,28.93,55.08,653.49
2025-04-26 00:38:00,29.16,52.14,653.14
2025-04-26 00:38:30,29.86,55.33,658.76
2025-04-26 00:39:00,30.02,53.47,650.32
2025-04-26 00:39:30,30.04,54.22,656.13
2025-04-26 00:40:00,29.8,52.5,648.35
2025-04-26 00:40:30,29.22,53.46,625.23
2025-04-26 00:41:00,29.05,54.14,640.45
2025-04-26 00:41:30,29.09,55.64,636.46
2025-04-26 00:42:00,28.72,54.63,651.73
2025-04-26 00:42:30,29.22,55.36,685.03
2025-04-26 00:43:00,29.2,56.29,688.11
2025-04-26 00:43:30,29.09,59.76,703.17
2025-04-26 00:44:00,28.39,59.16,707.46
2025-04-26 00:44:30,28.78,57.14,684.9
2025-04-26 00:45:00,27.83,57.03,683.87
2025-04-26 00:45:30,28.0,55.88,671.63
2025-04-26 00:46:00,26.99,56.37,675.33
2025-04-26 00:46:30,27.48,57.56,673.42
2025-04-26 00:47:00,28.16,57.35,666.81
2025-04-26 00:47:30,27.9,56.48,645.16
2025-04-26 00:48:00,27.98,56.85,641.53
2025-04-26 00:48:30,27.62,57.41,658.7
2025-04-26 00:49:00,27.64,56.65,652.79
2025-04-26 00:49:30,27.6,54.75,651.53
2025-04-26 00:50:00,27.63,57.52,660.97
2025-04-26 00:50:30,28.15,56.45,667.67
2025-04-26 00:51:00,27.58,56.92,671.86
